id,user_id,sentiment,text,processed_text,hashtags
264183816548130816,15140428,positive,Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :),gas house hit 339 im going chapel hill sat,[]
264249301910310912,18516728,negative,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out),iranian general say israel iron dome cant deal missile keep talking like may end finding,[]
264105751826538497,147088367,positive,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.,j davlar 11th main rival team poland hopefully make successful end tough week training tomorrow,[]
264094586689953794,332474633,negative,"Talking about ACT's && SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.",talking act sat deciding want go college applying college everything college stress,[]
254941790757601280,557103111,negative,"They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll",may superbowl dallas dallas aint winning superbowl quarterback owner s4nyc rasmussenpoll,[]
264169034155696130,382403760,neutral,"Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched",im bringing monster load candy tomorrow hope doesnt get squiched,[]
263192091700654080,344222239,objective-OR-neutral,"Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://bit.ly/XQEhJU ",apple software retail chief overhaul san francisco apple inc ceo tim cook monday replaced head httpbitlyxqehju,[]
260200142420992000,332530284,objective,#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://bit.ly/WY4Vjy  #LiveWireAthletics,livewire nadal confirmed mexican open february rafael nadal set play httpbitlywy4vjy livewireathletics,"['Livewire', 'LiveWireAthletics']"
263304719471087617,564843841,objective,"#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://bit.ly/XSTGtd ",iran u delisting mko global terrorist list line iran campaign tehran oct 30 irna secretary httpbitlyxstgtd,['Iran']
263975113404342273,616166780,objective,"Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)",expect lightmoderate rain e visayas cebu bohol samar leyte 3070 chance rain tonight expect fair weather tomorrow,[]
257343699460173824,10115042,positive,One ticket left for the @49ers game tomorrow! Don't miss the rematch of the NFC Championship game against the NY Giants! Hit me up!,one ticket left 49ers game tomorrow dont miss rematch nfc championship game ny giant hit,[]
264041764460036096,198706982,positive,"Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit",never start working dream goal tomorrowtomorrow never comesif mean anything u act getafterit,['getafterit']
264239636799430656,864992245,objective-OR-neutral,"BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,... http://prlasvegas.outdoorkitchennarm.com/black-friday-huge-saving-aerial-view-of-a-city-paris-las-vegas-the-las-vegas-strip-las-vegas-nevada-usa-photographic-poster-print-by-panoramic-images-36x12/ …",black friday huge saving aerial view city paris la vega la vega strip la vega httpprlasvegasoutdoorkitchennarmcomblackfridayhugesavingaerialviewofacityparislasvegasthelasvegasstriplasvegasnevadausaphotographicposterprintbypanoramicimages36x12,[]
